DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;3480;Leanback;LiveTV;UCL 20/21: Basaksehir v Man Utd
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;1140;Leanback;LiveTV;Election Night in America 2020
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;DStv Prem 20/21: Celtic v Pirates
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;Election Day in America Continued
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;1140;Leanback;LiveTV;Election Night in America 2020
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;60;Leanback;LiveTV;Rhythm City
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;540;Leanback;Other;Unmarried
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;60;Leanback;LiveTV;Sweet Home Sextuplets
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;60;Leanback;LiveTV;It Takes A Village
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;720;Leanback;Other;Uthando Nes'thembu
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;120;Leanback;Other;Skeem Saam
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;240;Leanback;LiveTV;My 600-lb Life
20201104;JO9Y8ZNQ3MIPC19BLHCE426J005F;60;Leanback;LiveTV;Izangoma Zodumo
20201104;DJW8B0Y11C8V99OLJS4LKSXN001H;60;Web;LiveTV;Genius of the Ancient World
20201104;DJW8B0Y11C8V99OLJS4LKSXN001H;60;Web;LiveTV;American Restoration
20201104;DJW8B0Y11C8V99OLJS4LKSXN001H;360;Web;LiveTV;Where The Wild Men Are With Ben Fogle
20201104;DJW8B0Y11C8V99OLJS4LKSXN001H;180;Web;LiveTV;Keeping Up With The Kardashians
20201104;JMCVLXSA196YJ0KC6IDOIEVB000M;240;iOS;LiveTV;Election Night in America 2020
20201104;HNMPE73P3PPR6DHQE5HBB4JJ001O;60;iOS;LiveTV;Kheth' Omthandayo
20201104;JMCVLXSA196YJ0KC6IDOIEVB000M;120;iOS;LiveTV;Bridesmaids
20201105;IG5651OEAWQLHL0FIZI29EID002M;540;Leanback;LiveTV;My 600-lb Life
20201105;JMCVLXSA196YJ0KC6IDOIEVB000M;240;iOS;LiveTV;Election Day in America Continued
20201105;JMCVLXSA196YJ0KC6IDOIEVB000M;3660;Web;LiveTV;Election Day in America Continued
20201105;JMCVLXSA196YJ0KC6IDOIEVB000M;4260;Web;LiveTV;Election Day in America Continued
20201105;JMCVLXSA196YJ0KC6IDOIEVB000M;120;iOS;Catch Up;Patriot Games
20201105;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201105;IG5651OEAWQLHL0FIZI29EID002M;540;Leanback;LiveTV;My 600-lb Life
20201105;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201105;6PMV67PLJ2S47S68J0Y30XFK003C;180;Leanback;LiveTV;Brave & Beautiful
20201105;6PMV67PLJ2S47S68J0Y30XFK003C;420;Leanback;LiveTV;Zara's Nikah
20201105;6PMV67PLJ2S47S68J0Y30XFK003C;240;Leanback;LiveTV;Family Affairs
20201105;DJW8B0Y11C8V99OLJS4LKSXN001H;120;Web;LiveTV;Escape To The Country
